heading,group,material_chars,question_chars,why_chars,answer_chars,answer_point_markers,thin_flags,answer_excerpt
6. 2024西城一模 第17题（主观题）,legacy,86,94,114,121,0,SHORT_WITHOUT_POINT_MARKERS,处理人与自然的关系要全面把握人与自然既对立又统一的矛盾两面，在承认人有合理改造自然的需要的同时，更要承认人对自然的依赖和与自然的共生关系，谋求在对立中走向和谐共生的统一，避免站在人类一端抹杀矛盾另一端、把单向支配等同于全部关系的人类中心主义。
7. 2026东城一模 第16题（主观题）,inserted,130,50,132,134,0,SHORT_WITHOUT_POINT_MARKERS,优秀文艺中“满足大众情绪”与“传递时代恢弘深沉情感”是一对对立统一的矛盾：一方面贴近大众情绪、引发情感共鸣使作品被人民群众接受、有合理性；另一方面，仅凭瞬时情绪满足难以形成持久传播力，不能由此把“满足情绪需求”等同于优秀；该观点只看到矛盾的一面而否定另一面，是片面的。
8. 2026东城期末 第16题（主观题）,inserted,126,43,171,160,0,SHORT_WITHOUT_POINT_MARKERS,“留白”集中体现了矛盾的对立统一：画面中“有”与“无”、“实”与“虚”是一对相互对立又相互依存的两面，没有空白衬托则实笔不显意境，没有实笔托底则空白成为虚无；正是把“白”与“非白”放在同一幅画中、相互衬托相互成就，才能在方寸之间尽显天地之宽、意境之美。所以“白”不止于白——它揭示了中国传统艺术中矛盾对立统一的思维方法。
9. 2026东城期末 第21题（主观题）,inserted,48,42,111,68,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,"我国把区域发展不平衡这一矛盾作为推动力,通过京津冀分工承接、东西联动、陆海统筹等条件创造,使发展落差由制约因素转化为推动协调发展的动能。"
10. 2025东城二模 第16题（主观题）,legacy,73,36,190,167,0,SHORT_WITHOUT_POINT_MARKERS,矛盾是对立统一的，要求我们坚持两点论与重点论相统一，全面看问题。人工智能发展带来巨大机遇——赋能科技创新、产业发展、社会治理、医疗教育、家庭服务，但同时也存在伦理风险、安全风险、就业冲击等隐患。我们要正视AI发展中的矛盾，既积极拥抱AI带来的机遇，又针对性地化解AI带来的风险，在矛盾的对立统一中推动AI健康发展，与AI共创美好未来。
11. 2026朝阳期中 第18题（主观题）,inserted,86,39,154,206,3,,①矛盾双方既对立又统一，同一事物内部包含相互区别、相互制约的两个方面。AI 提供情绪价值既有积极方面：能及时回应、提供表达空间、帮助部分用户缓解压力；也有消极方面：缺少真实生命体验和深层共情，长期依赖可能削弱现实交往能力。②因此，面对 AI 情绪陪伴不能简单肯定或简单否定，而要坚持一分为二、全面分析。③正确做法是在承认其辅助疏导价值的同时，防止过度依赖，把真实人际交往、主体能力提升和伦理边界放在更重要的位置。
12. 2025朝阳二模 第22题（主观题）,legacy,31,33,103,59,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,理解中国式现代化必须把顶层设计与实践探索作为相辅相成、缺一不可的两个方面，把握好对立统一关系才能共同推动事业向前发展。
13. 2024朝阳一模 第18题第（2）问（主观题）,legacy,82,41,131,119,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,科普与科创是矛盾的对立统一：二者各有侧重（科普侧重传播、科创侧重原创），但具有同一性——科普提升公众科学素质，是科创的基础性工作；二者都是文化事业的重要组成部分，都是建设文化强国的重要举措。把握这种对立统一，才能让二者协同发展、两翼齐飞。
14. 2024朝阳二模 第16题第（2）问（主观题）,legacy,138,40,147,87,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,未来人与人工智能不是单方面塑造关系，而是矛盾的对立双方，既相互区别又相互依存、相互转化，构成相互塑造、对立统一的辩证关系；应当用矛盾的观点看待并把握好二者在未来发展中的统一。
15. 2024朝阳期中 第17题（主观题）,inserted,72,46,174,175,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，要求我们用对立统一、全面的观点看问题；让农耕文明在新时代迎来全新面貌，要正视农耕文明的柔性和工业文明的刚性这一对矛盾两个方面，既不简单用刚性的工业文明压倒柔性的农耕文明，也不让柔性的农耕文明拒绝接纳刚性的工业文明，而是融通不同资源，找准二者的结合路径，让柔性与刚性在中华民族现代文明的整体形态中相统一，从而推动农耕文明迎来全新面貌。
16. 2026丰台一模 第16题（主观题）,inserted,210,31,124,198,3,,①矛盾就是对立统一，任何事物内部都包含既相互区别又相互联系的两个方面。人工智能作为新科技革命成果，一方面能推动文物保护、文化传承、跨文化交流和文明进步，释放技术赋能的积极作用。②另一方面，AI 也可能带来深度伪造、虚假信息、算法窄化、智能鸿沟等风险和隐忧。③面对这一时代命题，必须坚持一分为二、全面分析，在充分发挥 AI 积极作用的同时正视并治理其风险，使技术发展服务人的全面发展和社会公共利益。
17. 2026丰台一模 第21题（主观题）,inserted,137,28,121,145,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，要用矛盾观点看问题。中国式现代化作为前无古人的开创性事业，风险挑战与发展机遇并存、问题困难与重大突破并存——只有用矛盾的观点识变（看清两面）、应变（把握主要矛盾）、求变（推动矛盾向有利方向转化），才能化危为机，在“嫦娥视月”“奋斗者入海”“海南封关”等突破中开辟光明未来。
18. 2026丰台期末 第16题（主观题）,inserted,64,27,106,94,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,留白体现矛盾双方的对立统一。有形内容与空白空间相互对立又相互依存，适当留白能让山林溪谷、高楼绿地等元素形成张弛有度的整体意境；但过度留白又会走向空旷虚无，所以理解留白要看到对立双方的统一。
19. 2025丰台一模 第18题第（3）问（主观题）,legacy,76,22,125,163,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，要用一分为二、全面的观点看问题。人工智能不是万能的但缺席AI时代又是万万不能的，AI创造新质生产力的同时也带来替代就业、深度伪造、信息污染等风险——人与AI是对立统一关系；既要看到AI拓展人类能力、提高生产效率的积极一面，又要警惕AI带来的就业、信息和伦理风险，在矛盾的两面中坚持发挥AI优势、抑制AI风险。
20. 2024丰台二模 第20题（主观题）,legacy,102,24,166,144,0,SHORT_WITHOUT_POINT_MARKERS,发展与安全是矛盾的两个方面，二者既对立又统一——对立在于发展强调突破和创新、安全强调守底线和防风险，统一在于安全是发展的前提、发展是安全的保障；“统筹”就是在尊重两者对立面的前提下把握其内在统一，做到既积极发展又有效维护安全，所以党在各个历史时期都把统筹发展和安全作为治国理政的重要方略。
21. 2026延庆一模 第16题（主观题）,legacy,92,38,112,155,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，矛盾双方相互依存、相互贯通。城市文脉与现代化高楼、保护与发展、传统与创新、记忆与新功能在城市更新中是一对对立统一的矛盾——南京“微更新”让历史与现代共生、北京胡同引入特色书店让传统胡同成为文化地标，都是把矛盾双方在共生中相互成就；坚持矛盾对立统一的观点，才能让灵魂与高楼共生长，赓续城市文脉。
22. 2026门头沟一模 第16题（主观题）,inserted,66,50,121,154,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，要用一分为二的观点看问题，并通过创造条件实现矛盾向有利方向转化。永定河古渠原本可能成为“沉睡的文物”，门头沟通过申报世界灌溉工程遗产、把古渠功能与现代农业、生态补水、文化教育、文旅融合相结合，把“沉睡”与“活态”这对对立的状态统一起来，使古渠成为“奔流不息的活态遗产”，激发了民族文化自信。
23. 2026延庆一模 第20题（主观题）,legacy,108,62,113,144,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，矛盾双方既相互对立又相互依存。“十五五”时期，我国发展处于战略机遇和风险挑战并存、长期向好的支撑条件没有变与不确定难预料因素增多并存的复杂局面——只有用矛盾观点抓住机遇、应对挑战、把基本面稳的优势与新挑战中的“危”转化为“机”，才能在阶梯式递进中实现不懈努力、接续奋斗。
24. 2026石景山一模 第17题第（1）问（主观题）,legacy,104,33,97,130,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，矛盾双方相互依存、相互制约。中医以“中”“执中和谐”“顺势利导”为核心理念，认为人体气血、阴阳、脏腑等是相互对立又相互联系的统一体，健康正是这些对立面在动态中保持平衡——把握内在矛盾、维护气血脏腑的对立统一，正是中医药文化博大智慧的重要体现。
25. 2025门头沟一模 第16题（主观题）,legacy,96,56,157,139,0,SHORT_WITHOUT_POINT_MARKERS,矛盾就是对立统一，要用对立统一的观点看问题。文化传承（保护珍贵文物本体）与科技创新（用数字技术呈现新体验）是既对立又统一的两个方面：北京文旅的数字化转型让数字技术既不破坏文物本体又拓展观看方式、既保留长城原貌又增加智能导览，使文化传承与科技创新这一对矛盾在融合实践中实现了统一。
27. 2025房山一模 第16题第（1）问（主观题）,legacy,103,25,143,109,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,"用矛盾分析法看待博物馆热——既肯定其在科技赋能下推动中华优秀传统文化创造性转化、创新性发展的积极意义,又正视浮躁打卡、形式化等问题,从而提出在守正创新中扬长避短,让博物馆真正发挥“保护和传承人类文明的重要殿堂”的功能。"
28. 2024海淀一模 第5题（选择题）,legacy,54,128,167,104,4,ANSWER_LT_120_CHARS,正确项是 C（②④）：在矛盾双方的对立中把握统一、在统一中把握对立；把握矛盾问题的精髓——矛盾普遍性与特殊性的对立统一。错项分析：①混淆主要矛盾与矛盾主要方面；③把“看到曲折性”与“就能解决问题”错误地等同。
29. 2025西城期末 第7题（选择题）,inserted,64,134,132,182,3,,正确项是 B（含④）。事物的矛盾双方既对立又统一，要用对立统一的观点看问题。抢位与错位、快与慢、同与异是构建现代化产业体系中相互对立又相互依存的矛盾双方，需要在统筹中处理它们的辩证关系。错项②“超越地区资源禀赋”错——错位发展恰恰要立足而不是超越地区资源禀赋；错项③“关键是实现抢位和错位的转化”错——抢位与错位是并行处理的辩证关系，不是简单地从一方转化到另一方。
30. 2025东城期末 第4题（选择题）,inserted,94,87,121,202,3,,正确项是 A（含①）。矛盾就是对立统一，矛盾双方既对立又统一。汉字笔画的主次、长短、布局留白等多种对立要素相互依存、相互成就，正是在这种笔画的对立统一中彰显出汉字之美。错项③“不同笔画的个性寓于汉字结构的共性之中”颠倒了共性与个性的关系——共性寓于个性之中，个性包含共性；错项④“抓主流，以主笔为核心书写汉字方能为美”与材料“主次、长短、布局留白都彰显了汉字博大精深”不符（材料并没有强调以主笔为核心）。
31. 2025丰台一模 第2题（选择题）,legacy,55,94,220,177,3,,答案选B。①正确：笔画间虚与实、浓与淡、疏与密的对立统一关系成就了书法的艺术生命力，符合矛盾的对立统一原理。错项分析：②错把墨色浓淡与布局误读为“特殊性寓于普遍性”，“墨色浓淡的个性”与“书法布局的共性”不构成矛盾普特关系；④错把“虚实相生”歪曲为“以实为核心”，与材料“虚实相生”要求虚实并重相矛盾，且矛盾主要方面与书法艺术中虚实并重的对立统一不对应。
32. 2025丰台二模 第5题（选择题）,legacy,136,86,271,283,6,,正确项是 A（①②）。②智慧与道德具有内在一致性——“公而忘私者唯计大局和长远利益，才能深谋远虑而具大智”，把道德立场（公而忘私）与认识能力（深谋远虑大智）作为对立统一的两个方面联系起来，是矛盾分析法看待公私问题的体现。①汉字以其巧妙构造承载文化价值观念——属于《哲学与文化》文化部分，本轮按文化边界不单立条目。错项③“社会主流思想对个人观念有决定作用”用“决定”过于绝对，主流思想对个人观念有重要影响但不构成单向决定关系；错项④“处理好公私关系是实现人生价值的前提”把“前提”用
33. 2026朝阳二模 第16题（主观题）,inserted,134,40,114,116,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,城市文化建设要把传承与创新统一起来：一方面保护历史古迹和城市文脉，另一方面通过四合院焕新、公共文化空间和线上文化产品让传统进入现代生活。卷面可写：传承与创新既有区别又相互促进，只有在保护中利用、在利用中传承，才能让城市文化持续发展。
34. 2026通州一模 第18题（主观题）,inserted,119,47,130,92,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,隆福寺街区改造既保护古都肌理、留住历史记忆，又融入现代科技和时代元素，让保护与更新、传统与现代在同一空间中共生共荣。卷面可写：坚持对立统一观点，在承认古朴与创新差异的基础上寻找结合点。
35. 2026石景山二模 第17(3)题（主观题）,inserted,106,21,110,84,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,从矛盾角度写，良法与善治是区别中的统一：没有良法，善治缺少规范基础；没有善治，良法难以充分发挥治理效能。卷面可写：在承认制度规范与治理成效差异的基础上推动二者相互促进。
36. 2026石景山二模 第2题（选择题）,inserted,75,237,96,73,3,ANSWER_LT_120_CHARS,正确项是D（②④）。本节点只处理④：抗战剪纸把艺术表达和思想教育统一起来，说明矛盾双方既有区别又相互依存，艺术性与思想性在同一作品中实现对立统一。
37. 2025东城一模 第5题（选择题）,inserted,64,102,91,106,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,本题应选C。已知与未知、噪与静、鸣与幽不是彼此孤立的两个方面，而是在同一情境中相互规定、相互映衬；这体现矛盾双方的对立统一。学习中认识越深入，越能发现新的未知，也正是在这种已知与未知的矛盾运动中推动认识继续发展。
38. 2025海淀一模 第5题（选择题）,inserted,75,231,89,80,1,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,本题应选C。本节点处理④：完善生态产品价值实现机制，要在严格保护生态环境和实现经济社会价值之间动态把握条件、路径与限度，体现用矛盾运动的观点分析和推进制度完善。
39. 2026房山一模 第20题（主观题）,inserted,56,37,116,174,3,,①矛盾就是对立统一，矛盾双方既相互区别、各有特点，又相互联系、相互依存。②依法治国侧重以宪法法律规范国家和社会治理，依规治党侧重用党内法规管党治党、保持党的先进性和纯洁性，二者作用对象和规范体系不同。③但二者又统一于坚持党的领导、人民当家作主和依法治国有机统一的治理实践中，必须协同推进，才能把党的领导优势、法治优势和制度优势转化为现代化治理效能。
40. 2025海淀期末 第16题（主观题）,inserted,30,68,118,148,3,,①矛盾双方既相互区别又相互联系，并在一定条件下相互贯通。②中医药新时尚中的“药”与“食”、传统理念与现代烘焙、守住文化根脉与满足现代消费需求，都是对立统一关系。③打造中医药新时尚，既要尊重药食同源等传统智慧，又要通过现代产品形态和消费场景实现创新表达，使传统中医药文化在现代生活中获得新的生命力。
41. 2026东城期末 第3题（选择题）,inserted,70,40,64,95,0,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,本题正确项B只作为客观选择题挂点。城市治理既要保障安全卫生，又要尊重市民对自然之美、季节之韵的需要；这两种要求在治理实践中形成矛盾关系，推动治理方式从简单清扫转向更精细、更有人文温度的安排。
42. 2026朝阳期中 第19题（主观题）,inserted,39,44,114,150,3,,①矛盾双方既相互区别又相互联系，矛盾观点要求在对立统一中把握事物。②弘扬抗战精神，要看到历史记忆与现实使命、精神传承与实践奋斗既不同又相互贯通：铭记抗战历史是精神根基，投身新时代强国建设是现实展开。③把二者统一起来，才能既守住伟大抗战精神的历史内核，又把它转化为解决现实问题、推进民族复兴的行动力量。
43. 2026朝阳期末 第16题（主观题）,inserted,47,18,127,151,3,,①矛盾双方既相互区别又相互联系，传统戏曲中的守住文化之根与回应时代之变就是一对对立统一关系。②焕发生命力，既不能丢掉唱腔、程式、人物精神和审美精髓，也不能固守旧形式、拒绝现代舞台表达和青年审美。③在保留精髓中剔除不合时宜的表达，在紧跟时代中守住文化根脉，才能把传统与现代统一起来，实现传统戏曲新的发展。
44. 2026海淀期末 第21题（主观题）,inserted,55,44,110,153,3,,①矛盾双方既对立又统一，活力与秩序也是中国式现代化进程中的对立统一关系。②没有活力，社会发展就会缺少创新、创造和流动；没有秩序，发展活力又可能滑向无序、风险和不公平。③中国式现代化要在法治、制度和治理能力保障下释放市场活力、社会活力和创新活力，同时以良好秩序维护安全稳定，形成活而不乱、活跃有序的动态平衡。
45. 2026通州期末 第8题（选择题）,inserted,40,23,37,40,0,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,作品把个体参与的差异性和共同民族记忆的整体性统一起来，体现矛盾双方既区别又联系。
46. 2026东城一模 第2题（选择题）,inserted,69,53,69,84,1,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,本题应选A。本节点只处理③：文化与经济既有区别又相互联结、相互作用，隆福寺街区正是在传统文化资源与消费业态的对立统一中实现迭代升级。选择题边界已明示；非主观题评分细则。
47. 2026东城二模 第4题（选择题）,inserted,86,43,81,94,0,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,本题应选D。把握矛盾就是对立统一，才能理解传统灯诱法和先进技术既有区别又能统一于害虫防治实践之中；正是在这种对立统一关系中，科研团队把传统样本捕捉和智能识别结合起来，推动识虫效果实现飞跃。
1. 2026朝阳期中 第18题（主观题）,inserted,44,34,121,165,3,,①矛盾具有普遍性，任何事物都包含对立统一的两个方面，AI提供情绪价值也不例外。②应肯定其在即时回应、陪伴表达、缓解部分情绪需求上的积极作用，同时看到其缺少真实生命体验、深度共情和现实责任关系，可能带来依赖和交往弱化。③正确态度不是简单赞成或反对，而是在合理使用中发挥技术长处，并以真实人际交往、主体能力提升和价值判断来限制其风险。
2. 2026丰台一模 第16题（主观题）,inserted,59,31,113,177,3,,①矛盾具有普遍性，任何事物都包含对立统一的两个方面，人工智能发展也不例外。②一方面，人工智能能够提高效率、拓展知识生产和文化传播方式，为人类文明进步注入动能；另一方面，它也可能造成信息失真、文化视野窄化、智能鸿沟和治理风险。③推动人工智能健康发展，就要坚持全面观点，既发挥技术促进文明进步的积极作用，又正视并治理风险，使其朝着有益、安全、公平的方向发展。
3. 2025西城期末 第18题（主观题）,inserted,63,60,145,151,3,,①矛盾具有普遍性，任何事物发展过程都包含矛盾，新技术发展也会伴随风险和问题。②面对人工智能等新技术带来的就业冲击、隐私泄露、安全风险和伦理担忧，不能回避矛盾，也不能因为有问题就简单否定技术进步。③正确态度是坚持问题导向，直面矛盾、分析矛盾、解决矛盾，通过制度治理、技术规范和社会适应促进新技术健康发展。
4. 2024西城一模 第9题（选择题）,inserted,70,54,111,121,0,SHORT_WITHOUT_POINT_MARKERS,本题应选D。世界上的一切事物都包含矛盾，矛盾具有普遍性；逆境与生命韧性、资源消耗与长期生存之间的矛盾关系，引发人们对生命意义和生命潜能的反思。A把理性认识都说成真理性认识，B把主观能动性错误用于树木，C把矛盾转化结果绝对化，均不作为正文链条。
5. 2026房山二模 第21题（主观题·矛盾普遍性角度）,inserted,66,30,109,162,3,,①矛盾具有普遍性，事事有矛盾、时时有矛盾，推进新的长征路必然会遇到风险挑战和复杂问题。②中国式现代化进程中，会面对发展不平衡、改革攻坚、科技创新、生态文明、民生保障和国际环境变化等矛盾。③走好新的长征路，必须坚持问题导向，敢于承认矛盾、深入分析矛盾、积极解决矛盾，通过伟大斗争和系统实践不断破解难题，推动现代化建设向前发展。
1. 2024海淀二模 第17题第（1）问（主观题）,legacy,102,26,157,101,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,针对此次调查范围更广、对象更多、内容更丰富等新特点采用电子化采集等新手段、新工具，并在准备、组织实施、资料开发应用各阶段抓住该阶段的特殊任务采取与之相符的具体做法，从而体现矛盾分析法和具体问题具体分析。
2. 2026西城一模 第21题（主观题）,legacy,78,39,130,133,0,SHORT_WITHOUT_POINT_MARKERS,中国式现代化具有不同于西方式现代化的矛盾特殊性，“十五五”又聚焦不同的关键领域和重要环节，每个领域、每个环节都有各自具体的矛盾——只有具体问题具体分析，在关键时期针对各领域不同矛盾持续探索，才能找到适合自身的路径，超越西方现代化模式，所以越是关键时期，越要坚持探索。
3. 2025西城二模 第16题（主观题）,legacy,52,23,154,219,3,,①矛盾具有特殊性，要求坚持具体问题具体分析，这是正确解决矛盾的关键。废弃水井原本可能成为野生动物取水和脱困的风险点，但它所处的村落遗址、周边生态环境以及不同动物的体型和行动方式各不相同。②管理处工作人员从这些具体条件出发，分析不同动物取水、攀爬、停留和安全返回的需要，设置攀爬台阶、蓄水设施等针对性方案，而不是简单填埋或机械保护。③这种做法把不利条件转化为生态保护资源，说明只有抓住具体矛盾的特殊性，才能找到切合实际、有效可行的保护办法。
4. 2025西城二模 第16题第（1）问（主观题）,legacy,97,23,172,148,0,SHORT_WITHOUT_POINT_MARKERS,具体问题具体分析是马克思主义活的灵魂，要在矛盾普遍性原理指导下，分析矛盾的特殊性，找到解决问题的方法。管理处工作人员一方面认识到野生动物普遍需要饮水这一矛盾普遍性，另一方面具体分析不同体型动物的取水习性差异这一特殊性，针对性地修建攀爬台阶、营造5处雨水收集池，化不利为有利，实现了精准的生态保护。
5. 2024西城二模 第18题第（4）问（主观题）,legacy,47,25,104,81,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,推动乡村文化振兴必须坚持具体问题具体分析，立足各地村落形态、建筑风格、风俗习惯、方言乡音等具体特点，因村制宜、一村一策制定差异化的振兴方案，避免一刀切和千村一面。
6. 2025东城二模 第21题（主观题）,legacy,148,32,213,214,0,,具体问题具体分析、把握矛盾的特殊性，要求我们一切从实际出发，根据不同事物的具体情况采取不同方法。基层立法联系点之所以能蕴含“民主大气象”，正在于它充分把握了各地的特殊性——上海虹桥嵌入国际中央法务区、新疆库车云南大理立足边疆民族地区、山东沂南扎根革命老区，各联系点根据地域、人文、经济社会特色因地制宜地探索创新（二维码、多平台融合、民生热线等），调动了不同地方人民群众民主参与的积极性主动性，增强了民主的广泛性、真实性、管用性。
7. 2024东城二模 第16题（主观题）,legacy,44,34,97,68,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,桑基鱼塘历久未老，是因为它在矛盾运动中坚持具体问题具体分析，把传统智慧与现代需要、生态保护与产业发展统一起来，从而在矛盾解决中持续焕新。
8. 2026朝阳期中 第18题（主观题）,inserted,58,39,114,104,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,可以在具体需求和具体场景中适度使用 AI 提供情绪价值：对短时压力排解、低风险情绪倾诉等需求，可根据用户实际调整对话模式，让 AI 作辅助工具；但要具体问题具体分析，不能把所有现实情感问题都交给 AI 处理。
9. 2025朝阳期末 第22题（主观题）,inserted,61,35,150,83,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,谱写马克思主义中国化时代化新篇章要坚持系统观念整体推进党和国家事业，坚持守正创新发展理论，坚持问题导向和具体问题具体分析，针对不同重大时代课题提出新理念新思路新办法。
10. 2024朝阳期中 第17题（主观题）,inserted,114,46,186,170,0,SHORT_WITHOUT_POINT_MARKERS,矛盾具有特殊性，具体问题要具体分析；让农耕文明在新时代迎来全新面貌，必须正视不同地区、不同形态、不同载体的农耕文明各有其特殊性，反对“拆真建假”“过分商业化”“一哄而上”这种用一个套路覆盖所有的做法；要根据每一项遗产、每一类乡村综艺、每一种文化产品的具体情况制定保护、传承、创新方案，让农耕文明的“乡土味”和地方个性在新时代得到保留和呈现。
11. 2025丰台期末 第16题（主观题）,inserted,61,41,116,121,0,SHORT_WITHOUT_POINT_MARKERS,矛盾具有特殊性，要做到具体问题具体分析。要做到胸中有“数”，需要分析矛盾的特殊性、精准分析工作中的“数”——在工作生活中针对具体计划方案确定相应的“数”，在国家治理中针对全局长远确定相应的“数”，避免用同一种数量标尺去裁量所有不同性质的事务。
12. 2026延庆一模 第16题（主观题）,legacy,115,38,118,149,0,SHORT_WITHOUT_POINT_MARKERS,矛盾具有特殊性，要求具体问题具体分析。每个城市的历史文脉、文化记忆、地域特色各不相同，赓续文脉不能搞“千城一面”——北京要承载古都记忆，天津要彰显津派工业与市井文化，上海要塑造“海纳百川”的城市精神，惠州要承载岭南乡愁；只有立足各城市独特的文化特殊性、具体问题具体分析，才能让灵魂与高楼真正共生长。
13. 2026石景山一模 第17题第（1）问（主观题）,legacy,81,33,98,120,0,SHORT_WITHOUT_POINT_MARKERS,矛盾具有特殊性，要求具体问题具体分析。中医通过“望闻问切”四诊合参，从病因、病性、病理判断得出病名、归纳症型，以辨证论治原则对每个病人实施个性化治疗——这正是把握矛盾特殊性、对不同患者作具体问题具体分析，构成了中医药文化博大智慧的重要内容。
14. 2026房山一模 第18题第（1）问（主观题）,inserted,35,43,115,148,3,,①矛盾具有特殊性，要坚持具体问题具体分析。②北京治理空气污染时，没有搞笼统治理和“一刀切”，而是区分重点区域、重点行业、重点时段以及不同企业的排放特点，分区分类、一企一策、精准施策。③这种做法使治理措施同具体污染成因和治理对象相匹配，从而提高科学治理效果，推动空气质量稳定改善并实现“常态蓝天”。
15. 2025延庆一模 第16题（主观题）,legacy,39,35,148,197,3,,①矛盾具有特殊性，不同事物、不同群体、不同阶段有不同矛盾，必须坚持具体问题具体分析。②中老年题材网络文艺面对的是中老年人的精神文化需要，其审美经验、情感诉求、操作习惯和内容偏好不同于年轻群体，不能简单复制年轻化、流量化表达。③创作者应从中老年人的真实生活和精神需求出发，优化题材选择、人物塑造、叙事节奏、传播入口和互动方式，使作品既方便观看、愿意观看，又能表现银发力量、满足多层次精神文化需要。
16. 2025顺义一模 第16题（主观题）,legacy,77,37,97,89,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,让“古老的”成为“新生的”，要坚持具体问题具体分析，针对不同传统文化资源的特色和不同受众的多样需求，量身定制差异化的当代表达方式，让古老资源在贴合自身特殊性的转化中重获“新生”。
17. 2024西城二模 第7题（选择题）,legacy,99,112,147,106,2,ANSWER_LT_120_CHARS,①规划师要因地制宜抓住每处街巷的矛盾特殊性(矛盾的特殊性原理及其方法论:具体问题具体分析)，②要实事求是，从新老居民现实生活方式的客观实际出发推动其焕新——这是用矛盾特殊性和实事求是回答“怎么打造精品宜居街巷”。
18. 2024东城一模 第15题（选择题）,legacy,85,143,160,98,6,ANSWER_LT_120_CHARS,正确项是 C（②③）：②具体问题具体分析（针对太平洋扇区观测空白这一特殊矛盾建设秦岭站）；③推动构建人类命运共同体。错项分析：①把“极地考察规律性条件”空泛化；④否定拼搏精神对极地科考的能动作用。
19. 2025朝阳一模 第4题（选择题）,inserted,55,146,199,243,0,,答案选B。“敌进我退、敌驻我扰、敌疲我打、敌退我追”根据敌情的具体变化采取不同的具体战术，体现了矛盾分析法中具体问题具体分析（在矛盾普遍性指导下分析矛盾的特殊性）。错项分析：A中“人尽其才、物尽其用、地尽其利、货畅其流”强调资源的合理利用，与“世界的物质性”无直接对应；C中“简言达旨、博文赅情”是汉语表达的简练性描写，与辩证否定观（自我否定的扬弃）无关；D中“纵有千古、横有八荒、前途似海、来日方长”强调时空的宏阔与未来的远大，与认识具有反复性、无限性、上升性的认识论命题不直接
20. 2025朝阳二模 第2题（选择题）,legacy,86,156,291,301,7,,正确项是 D（③④）。③矛盾的特殊性使各种花卉呈现各自的个性之美，而矛盾的普遍性（春发花开的岁时节序）让人们体味法则之美——这是矛盾普遍性与特殊性辩证关系在赏花中的具体显现。④农民种花、园丁育花、诗人咏花、画家画花，是人以不同形式从事劳动创造的活动——劳动创造美、劳动创造精神在这些不同的实践方式中得到体现。错项①把“矛盾普遍性包含特殊性”的方向颠倒了——正确表述是“矛盾的普遍性寓于特殊性之中、并通过特殊性表现出来”，①混淆了“寓于”与“包含”两者的方向；错项②把“梅花在小寒、
21. 2025房山一模 第3题（选择题）,legacy,47,146,242,204,0,,答案选B。智能养老技术发展必须从老年群体不同于其他用户的具体特殊需要出发（操作简便、隐私可控等），让“科技更适老”，体现了具体问题具体分析、抓矛盾特殊性的要求。错项分析：A错把“推广缓慢的根源”归于“新事物发展曲折”这一普遍规律，掩盖了“未充分考虑老年特殊需要”这一具体原因；C 与材料“部分老年人难以适应甚至抵触”矛盾，“已成为矛盾的主要方面”不成立；D“矛盾斗争性是绝对的”是抽象命题，与题干因果不相干。
