global_entry_no,source_label,bucket,second_level,core_point,year,district,exam_type,q_no,q_sub,overall_auto_status,paper_count,rubric_count,other_count,paper_statuses,rubric_statuses,q_in_paper,q_in_rubric,prompt_exact,prompt_match_fragment,prompt_match_score,score_match_fragment,score_match_score,surface_match_fragment,surface_match_score,paper_paths,rubric_paths,other_paths,prompt,score_layers,surface_sentence
110,2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,政治多极化,新国关：新型国际关系,在平等互利基础上开展合作，实现互利共赢,2025,东城,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,推动贸易自由便利并维护市场秩序,0.001,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf || /Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。,,中方主张通过磋商解决中欧新能源汽车贸易争端，坚持互利共赢，推动贸易自由便利并维护市场秩序。
111,2026通州期末Q20,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2026,通州,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,顺应各国人民愿望等,1.000,全球治理倡议坚持共商共建共享全球治理观,0.002,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,六层：1.共商共建共享全球治理观；2.时代主题、经济全球化、顺应各国人民愿望等；3.符合《联合国宪章》；4.推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意一点给1分、共2分；5.人类命运共同体；6.贡献中国智慧、中国方案、勇于大国担当。,全球治理倡议坚持共商共建共享全球治理观，为应对治理赤字、完善全球治理提供中国方向。
112,2026朝阳一模Q20,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2026,朝阳,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,阐述中国为什么能为全球发展注入稳定性和正能量,1.000,,0.000,为全球发展注入稳定性和正能量,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。,,中国坚持共商共建共享，通过扩大自贸朋友圈、分享发展成果并促进人才、商品、服务和生产要素双向流动，让全球共享中国发展机遇，为全球发展注入稳定性和正能量。
113,2024朝阳二模Q20——完善全球气候治理基本原则与各方共识表格,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2024,朝阳,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,完善全球气候治理应遵循的基本原则,1.000,,0.000,各主权国家和国际组织应秉持共商共建共享全球治理观,0.003,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf || /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,,结合研讨背景，运用《当代国际政治与经济》知识，完成下表：完善全球气候治理应遵循的基本原则；本次研讨各方达成的共识。,,应对气候变化关系各国共同安全与发展利益，各主权国家和国际组织应秉持共商共建共享全球治理观，推动构建公平合理、合作共赢的全球气候治理体系。
114,2024丰台二模Q19,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2024,丰台,二模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,通过南南合作和区域合作参与完善全球治理,0.003,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，说明中国“答卷”如何彰显大国担当。（6分）,,中国在应对气候变化中积极承担责任，通过南南合作和区域合作参与完善全球治理，践行共商共建共享理念，为全球环境治理提供中国方案。
115,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2025,丰台,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,阐明中非达成一系列战略性共识的理论逻辑和价值意蕴,1.000,,0.000,落实共商共建共享的全球治理观,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,,中非合力提升发展中国家代表性和发言权，落实共商共建共享的全球治理观，推动全球治理体系朝着更公正合理的方向发展。
116,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2026,延庆,一模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,践行共商共建共享的全球治理观,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx,,"结合材料二，运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。",,中国与共建国家通过绿色发展指数和指标共商、策略共研、成效共评机制开展能源治理合作，践行共商共建共享的全球治理观，推动全球能源治理向多边协同转型。
117,"2025顺义一模Q20——""小而美""项目为何成为中国开展国际发展合作的亮点和名片",政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2025,顺义,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,"""小而美""项目坚持共商共建共享原则",0.001,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,,"结合材料，运用《当代国际政治与经济》知识，说明""小而美""项目为何成为中国开展国际发展合作的亮点和名片。",,"""小而美""项目坚持共商共建共享原则，聚焦共建国家基层社区需求，增强国际发展合作的实际成效。"
118,2026顺义二模Q20,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2026,顺义,二模,20,,NEEDS_MANUAL_SURFACE_CHECK,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,世界经济发展的重要推动者,1.000,,0.000,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,,结合材料，运用《当代国际政治与经济》知识，谈谈对“今天的中国，明天的世界”的理解。,8分；可从共商共建共享、新型国际关系、独立自主的外交政策、世界经济发展的重要推动者、中国智慧的生动实践、让经济全球化更有活力等角度作答，按等级描述给分。,中国以共商共建共享理念推进发展合作，通过微电网、乡村打井、物流网络、希望农场、菌草技术和鲁班工坊等实践，把中国发展机遇转化为各国共享的发展成果。
119,2026丰台一模Q19（共商共建共享全球治理观）,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2026,丰台,一模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,中国坚持共商共建共享的全球治理观,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。,,中国坚持共商共建共享的全球治理观，在消除贫困、教育普及和卫生健康等领域推进合作，为全球可持续发展贡献成就，体现负责任大国的情怀与担当。
120,2026西城二模Q19(1),政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2026,西城,二模,19,1,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OCR_OK,True,True,True,阐释中国参与全球数据治理的逻辑,1.000,,0.000,中国参与全球数据治理,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,,结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。,,中国参与全球数据治理，坚持共商共建共享，推动各国平等参与数据治理规则制定，促进国际关系民主化。
121,2026西城期末Q20——参与全球气候治理中的中国实践,政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,2026,西城,期末,20,,BLOCKED_NO_PAPER_FILE,0,3,0,,OCR_OK;OK,False,True,False,,0.000,,0.000,合作共赢的全球气候治理体系,1.000,,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/细则.pdf || /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/补充材料/西城高三期末评标.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/补充材料/高三思想政治参考答案.pdf,,结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,中国持续向联合国提交并更新国家自主贡献目标，以实际行动推动构建公平合理、合作共赢的全球气候治理体系。
122,2024西城二模Q19,政治多极化,完全治：完善全球治理,推动国际秩序和全球治理体系更加公正合理,2024,西城,二模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,2,OK,OK,True,True,True,阐述中国答案所体现的处理国际关系的新思路,1.000,,0.000,推动国际秩序朝着更加公正合理的方向发展,1.000,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pdf || /Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pptx,结合材料，阐述中国答案所体现的处理国际关系的新思路。,,中国答案顺应时代潮流，倡导全球协作，支持赋予发展中国家更多发言权，坚持真正的多边主义，推动国际秩序朝着更加公正合理的方向发展。
123,2025顺义一模Q20,政治多极化,完全治：完善全球治理,推动国际秩序和全球治理体系更加公正合理,2025,顺义,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,为重构公正合理的国际政治经济秩序贡献可复制的国际发展合作经验,0.003,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，说明“小而美”项目为何成为中国开展国际发展合作的亮点和名片。,,“小而美”项目以具体民生合作提供中国方案，为重构公正合理的国际政治经济秩序贡献可复制的国际发展合作经验。
124,2026海淀一模Q20中国标准走出国门推动治理体制公正合理,政治多极化,完全治：完善全球治理,推动国际秩序和全球治理体系更加公正合理,2026,海淀,一模,20,,ISSUE_SCORE_LAYER_NOT_FOUND_AUTO,1,1,0,OCR_OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,中国标准走出国门,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,中国标准走出国门，有利于推动全球治理体制向着更加公正合理方向发展，使发展中国家在标准与规则中的代表性和发言权得到提升。
125,2026顺义二模Q20,政治多极化,完全治：完善全球治理,推动国际秩序和全球治理体系更加公正合理,2026,顺义,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,世界经济发展的重要推动者,1.000,促进世界共同发展,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,,结合材料，运用《当代国际政治与经济》知识，谈谈对“今天的中国，明天的世界”的理解。,8分；可从共商共建共享、新型国际关系、独立自主的外交政策、世界经济发展的重要推动者、中国智慧的生动实践、让经济全球化更有活力等角度作答，按等级描述给分。,中国以开放合作和义利兼顾的实践推动全球治理体系朝着更加公正合理方向发展，促进世界共同发展、持续发展。
126,2026西城二模Q19(2),政治多极化,完全治：完善全球治理,推动国际秩序和全球治理体系更加公正合理,2026,西城,二模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OCR_OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,各国应通过多边主义完善全球数据治理,0.002,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,,结合材料，运用《当代国际政治与经济》知识，为释放数据价值、繁荣数字经济提2条建议，并说明理由。,,各国应通过多边主义完善全球数据治理，在共同规则下协调数据流动、数据安全和数字经济发展。
127,2026西城二模Q19(1),政治多极化,完全治：完善全球治理,推动国际秩序和全球治理体系更加公正合理,2026,西城,二模,19,1,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OCR_OK,True,True,True,阐释中国参与全球数据治理的逻辑,1.000,,0.000,有利于构建公正合理的全球数据治理新秩序,0.003,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,,结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。,,中国积极参与全球数据治理，有利于构建公正合理的全球数据治理新秩序，推动全球数字治理更加公平有效。
128,2024朝阳二模Q20,政治多极化,完全治：完善全球治理,坚持开放合作、共享共赢、包容互鉴、共商共建,2024,朝阳,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,完善全球气候治理应遵循的基本原则,1.000,,0.000,完善全球气候治理应坚持开放,0.002,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf || /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,,结合研讨背景，运用《当代国际政治与经济》知识，完成下表：完善全球气候治理应遵循的基本原则；本次研讨各方达成的共识。,,完善全球气候治理应坚持开放、合作、共享、共赢和包容原则，通过共商共建凝聚各方行动。
129,2026通州期末Q20,政治多极化,完全治：完善全球治理,以主权平等、国际法治等原则推动全球治理体系变革完善,2026,通州,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,顺应各国人民愿望等,1.000,推动建设更加公正合理的全球治理体系,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,六层：1.共商共建共享全球治理观；2.时代主题、经济全球化、顺应各国人民愿望等；3.符合《联合国宪章》；4.推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意一点给1分、共2分；5.人类命运共同体；6.贡献中国智慧、中国方案、勇于大国担当。,全球治理倡议以主权平等、国际法治等原则为支撑，有利于反对霸权主义和强权政治，推动建设更加公正合理的全球治理体系。
130,2025朝阳期末Q21（国际秩序公正合理）,政治多极化,完全治：完善全球治理,推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序,2025,朝阳,期末,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,1,OK,OCR_OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,推动建立更加公正合理的国际政治经济新秩序,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/其他材料/朝阳高三期末2025.pptx,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,,中国推动全球治理体系变革完善，推动建立更加公正合理的国际政治经济新秩序，为中国式现代化营造稳定的国际秩序环境。
131,2026通州期末Q20,政治多极化,共体：人类命运共同体,推动构建人类命运共同体,2026,通州,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,顺应各国人民愿望等,1.000,全球治理倡议坚持推动构建人类命运共同体,0.002,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,六层：1.共商共建共享全球治理观；2.时代主题、经济全球化、顺应各国人民愿望等；3.符合《联合国宪章》；4.推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意一点给1分、共2分；5.人类命运共同体；6.贡献中国智慧、中国方案、勇于大国担当。,全球治理倡议坚持推动构建人类命运共同体，为变乱交织的世界提供合作方向。
132,2024海淀二模Q18(1)多极化世界中的民主与全球治理,政治多极化,共体：人类命运共同体,推动构建人类命运共同体,2024,海淀,二模,18,1,NEEDS_MANUAL_SURFACE_CHECK,2,2,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,,0.000,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx || /Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,,任选一个议题，参考资料包中的内容，运用《当代国际政治与经济》知识，围绕所选议题写一篇时政述评。,,人工智能、大数据带来的全球治理挑战和代表性不足，说明各国需要以人类命运共同体理念共同应对全球性治理问题，推动全球治理体系更加有效、民主。
133,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",政治多极化,共体：人类命运共同体,推动构建人类命运共同体,2025,延庆,一模,20,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,共筑人类命运共同体,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,,"中国愿携手各国深化产供链合作，将全球供应链真正打造为""世界共赢链""，共筑人类命运共同体。"
134,2025房山一模Q18(2)中国开源战略,政治多极化,共体：人类命运共同体,推动构建人类命运共同体,2025,房山,一模,18,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,更是对全球合作新模式的一次积极探索和实践,1.000,,0.000,构建人类命运共同体,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,,"""中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。""结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。",,中国推动人工智能能力建设国际合作，构建人类命运共同体，让开源战略成为各国共享AI红利的全球合作新模式。
135,"2024丰台二模Q19中国""答卷""如何彰显大国担当",政治多极化,共体：人类命运共同体,推动构建人类命运共同体,2024,丰台,二模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,推动构建人类命运共同体,1.000,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,,"结合材料，运用《当代国际政治与经济》知识，说明中国""答卷""如何彰显大国担当。",,中国通过区域气候和环境合作改善区域生态环境，推动构建人类命运共同体，彰显维护全球可持续发展的大国担当。
136,2024西城二模Q19中国答案的国际关系新思路,政治多极化,共体：人类命运共同体,推动构建人类命运共同体,2024,西城,二模,19,,NEEDS_MANUAL_SURFACE_CHECK,1,2,2,OK,OK,True,True,True,阐述中国答案所体现的处理国际关系的新思路,1.000,,0.000,,0.000,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pdf || /Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pptx,结合材料，阐述中国答案所体现的处理国际关系的新思路。,,中国答案以人类命运共同体理念为总纲，主张各国相互依存、休戚与共，从根本上回应实力至上和结盟对抗的旧国际关系逻辑。
137,2026门头沟一模Q21,政治多极化,共体：人类命运共同体,推动构建人类命运共同体,2026,门头沟,一模,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,谈谈中国为何能为世界提供宝贵的确定性,1.000,,0.000,与全球各方共享市场和发展机遇,0.002,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,,结合材料，综合运用所学，谈谈中国为何能为世界提供宝贵的确定性。,,中国推动构建人类命运共同体，把自身发展同世界发展结合起来，与全球各方共享市场和发展机遇，使中国长期稳定发展转化为世界发展的稳定性和确定性。
138,2025西城二模Q19(2),政治多极化,共体：人类命运共同体,促进共同发展、维护持久和平，共同推进现代化,2025,西城,二模,19,2,NEEDS_MANUAL_SURFACE_CHECK,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,,0.000,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。,,中国向最不发达国家开放市场，有利于促进各国共同发展、共同推进现代化，并为维护持久和平夯实发展基础。
139,2024朝阳二模Q20,政治多极化,单边/斥：反对单边主义等错误倾向,践行真正的多边主义,2024,朝阳,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,完善全球气候治理应遵循的基本原则,1.000,,0.000,完善全球气候治理应坚持平等,0.002,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf || /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,,结合研讨背景，运用《当代国际政治与经济》知识，完成下表：完善全球气候治理应遵循的基本原则；本次研讨各方达成的共识。,,完善全球气候治理应坚持平等、公平、公正和多边主义原则，在协商一致基础上处理各方责任与利益。
140,2026丰台一模Q19（真正的多边主义）,政治多极化,单边/斥：反对单边主义等错误倾向,践行真正的多边主义,2026,丰台,一模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,致力于扩大同各国利益的汇合点,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。,,中国坚定维护联合国宪章的宗旨和原则，积极践行真正的多边主义，坚持合作共赢，致力于扩大同各国利益的汇合点，展现负责任大国的担当。
141,2026通州期末Q20,政治多极化,民主：国际关系民主化,推动国际关系民主化,2026,通州,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,顺应各国人民愿望等,1.000,倡导国际关系民主化,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,六层：1.共商共建共享全球治理观；2.时代主题、经济全球化、顺应各国人民愿望等；3.符合《联合国宪章》；4.推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意一点给1分、共2分；5.人类命运共同体；6.贡献中国智慧、中国方案、勇于大国担当。,全球治理倡议推动构建国际新秩序，倡导国际关系民主化，践行多边主义，坚持正确义利观并兼顾各方合理利益。
142,2025东城一模Q20,政治多极化,民主：国际关系民主化,推动国际关系民主化,2025,东城,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,维护发展中国家的利益,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。,,中国在二十国集团峰会上回应全球南方求平等、促变革的愿望，维护发展中国家的利益，为全球治理朝着更加公正合理方向发展注入力量。
