p_index	style	heading_level	h1	h2	h3	h4	text
371			二、辩证思维	量变与质变	2. 2025延庆一模 第18题（主观题）		【同题说明】  本题7分，须答出两个辩证思维知识角度（量变质变＋矛盾分析法或分析与综合）各结合材料，另含特征分；本条只训练其一，须合答方达满分。
372	Heading3	3	二、辩证思维	量变与质变	补充：2026朝阳期中(2025-11) 第20题（量变质变路径）		补充：2026朝阳期中(2025-11) 第20题（量变质变路径）
373			二、辩证思维	量变与质变	补充：2026朝阳期中(2025-11) 第20题（量变质变路径）		【材料触发点】  面对新征程的机遇与挑战，需要持续投入科研、完善产业基础、补齐短板、积累创新能力，把压力转化为发展动力。
374			二、辩证思维	量变与质变	补充：2026朝阳期中(2025-11) 第20题（量变质变路径）		【设问】  结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）
375			二、辩证思维	量变与质变	补充：2026朝阳期中(2025-11) 第20题（量变质变路径）		【为什么能想到】  量变与质变看的是积累和跃升。新征程上的优势不会自动变成发展成果，挑战也不会凭一句口号化解；只有在科技创新、产业升级、制度完善和风险治理中持续积累条件，才能推动现代化建设实现新的质量提升。
376			二、辩证思维	量变与质变	补充：2026朝阳期中(2025-11) 第20题（量变质变路径）		【答案落点】  面对机遇与挑战，要重视量的积累，通过持续科技攻关、产业基础提升、短板补齐和风险治理积累发展条件；在长期努力中把机遇转化为发展优势，把压力转化为创新动力，推动全面建设社会主义现代化国家实现质的提升。
377			二、辩证思维	量变与质变	补充：2026朝阳期中(2025-11) 第20题（量变质变路径）		【同题说明】  本题8分；细则列矛盾分析法、分析与综合（可换整体性）、量变质变、动态性四角度，选三角度各2分共6分，另有条理2分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
378	Heading2	2	二、辩证思维	适度原则			适度原则
379	Heading3	3	二、辩证思维	适度原则	1. 2026延庆一模 第18题第（2）问（主观题）		1. 2026延庆一模 第18题第（2）问（主观题）
380			二、辩证思维	适度原则	1. 2026延庆一模 第18题第（2）问（主观题）		【材料触发点】  虚拟数字人直播既能降低成本、精准匹配用户需求、丰富营销场景、激发市场活力，也可能被用于仿冒欺诈、虚假宣传和误导消费；全面禁止会压制新业态，放任自由又会放大风险，两端都会走向极端。
381			二、辩证思维	适度原则	1. 2026延庆一模 第18题第（2）问（主观题）		【设问】  （2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）
382			二、辩证思维	适度原则	1. 2026延庆一模 第18题第（2）问（主观题）		【为什么能想到】  适度原则看的是把握分寸、反对极端。面对虚拟数字人直播，材料同时给出积极面和风险面：它能降低成本、精准匹配、激发市场活力，又可能被仿冒欺诈利用。这里不能把题目写成“支持新技术”，也不能写成“严格禁止风险”，因为两端都会偏离材料。真正的触发点是“既要发展又要规制”：在创新空间、市场秩序、消费者权益之间确定合理限度。
383			二、辩证思维	适度原则	1. 2026延庆一模 第18题第（2）问（主观题）		【答案落点】  治理虚拟数字人直播应坚持适度原则，既不能因风险而全面禁止、压制新业态活力，也不能因创新而放任自由、放大仿冒欺诈风险；应在鼓励技术发展、维护市场秩序和保护消费者权益之间把握合理限度，通过规则完善、身份标识、责任追究和适度监管促进其健康发展。
384			二、辩证思维	适度原则	1. 2026延庆一模 第18题第（2）问（主观题）		【同题说明】  本题7分，四选三结构：矛盾分析法／适度原则／三新（辩证否定可替三新）各2分，任答三角度得6分＋条理1分；本条只训练其一，须三角度合答方得满分。
385	Heading3	3	二、辩证思维	适度原则	2. 2026通州一模 第17题第（2）问（主观题）		2. 2026通州一模 第17题第（2）问（主观题）
386			二、辩证思维	适度原则	2. 2026通州一模 第17题第（2）问（主观题）		【材料触发点】  材料二指出人工智能健康发展仍需在技术创新、伦理规范与法律治理之间寻求动态平衡；评分口径也强调有序推进技术应用、统筹创新与规范。
387			二、辩证思维	适度原则	2. 2026通州一模 第17题第（2）问（主观题）		【设问】  （2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）
388			二、辩证思维	适度原则	2. 2026通州一模 第17题第（2）问（主观题）		【为什么能想到】  适度原则的关键是把握“度”：AI 应用如果过慢，生活消费和产业升级的价值难以释放；如果过快、过宽、无规则扩张，又会放大隐私泄露、监管滞后和就业冲击。材料中的“有序推进技术应用、统筹创新与规范”正是在要求把握创新速度、应用范围和治理强度之间的合理限度。
389			二、辩证思维	适度原则	2. 2026通州一模 第17题第（2）问（主观题）		【答案落点】  看待人工智能应用与发展，要坚持适度原则，在创新速度、应用范围、数据使用、隐私保护和监管强度之间把握合理限度；既不能因风险而停滞技术应用，也不能为了效率突破伦理和法律边界，而应有序推进、适度监管，使 AI 在可控范围内服务生活消费、产业升级和高质量发展。
390			二、辩证思维	适度原则	2. 2026通州一模 第17题第（2）问（主观题）		【同题说明】  本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。
391	Heading2	2	二、辩证思维	辩证否定			辩证否定
392	Heading3	3	二、辩证思维	辩证否定	1. 2025海淀二模 第20题（主观题）		1. 2025海淀二模 第20题（主观题）
393			二、辩证思维	辩证否定	1. 2025海淀二模 第20题（主观题）		【材料触发点】  共享发展理念继承中华优秀传统文化中“不患寡而患不均”“损有余而补不足”等合理思想，同时又回应新时代共同富裕的现实问题，展开为全民共享、全面共享、共建共享和渐进共享。
394			二、辩证思维	辩证否定	1. 2025海淀二模 第20题（主观题）		【设问】  结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）
395			二、辩证思维	辩证否定	1. 2025海淀二模 第20题（主观题）		【为什么能想到】  辩证否定不是全盘抛弃，也不是照搬旧思想，而是在保留合理因素的基础上扬弃发展。材料明确说共享发展理念是对“不患寡而患不均”“损有余而补不足”等传统思想的继承与发展，又把这种思想转化为新时代共同富裕中的全民共享、全面共享、共建共享和渐进共享。看到“继承与发展”，就应想到辩证否定。
396			二、辩证思维	辩证否定	1. 2025海淀二模 第20题（主观题）		【答案落点】  推进共同富裕要坚持辩证否定观，既继承“不患寡而患不均”“损有余而补不足”等传统思想中重视均衡、互济和补不足的合理因素，又不能停留在传统观念本身；应结合新时代共同富裕的现实要求，把传统思想发展为全民共享、全面共享、共建共享和渐进共享的实践安排，使优秀传统思想在新的发展阶段获得新的内容和作用。
397			二、辩证思维	辩证否定	1. 2025海淀二模 第20题（主观题）		【同题说明】  本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
398	Heading3	3	二、辩证思维	辩证否定	2. 2024东城一模 第18题第（3）问（主观题）		2. 2024东城一模 第18题第（3）问（主观题）
399			二、辩证思维	辩证否定	2. 2024东城一模 第18题第（3）问（主观题）		【材料触发点】  传统产业在制造业中占比高，是现代化产业体系基底，但存在低端产能过剩、高端供给不足、创新能力薄弱等问题；未来材料、未来网络等未来产业正在加速前进，并渗透传统产业链上下游，引领传统优势产业转型。
400			二、辩证思维	辩证否定	2. 2024东城一模 第18题第（3）问（主观题）		【设问】  （3）发展新质生产力，要正确认识传统产业和未来产业的关系。结合材料，运用《逻辑与思维》知识，谈谈你的看法。（6分）
401			二、辩证思维	辩证否定	2. 2024东城一模 第18题第（3）问（主观题）		【为什么能想到】  辩证否定回答的是传统产业和未来产业之间怎样“既保留又改造”。材料先说明传统产业是现代化产业体系基底，不能忽视、放弃；又指出低端产能、高端供给、创新能力等短板，说明传统产业也不能原样保留。未来产业渗透传统产业链上下游，说明新质生产力不是把传统产业当作“旧事物”抛开，而是在扬弃中改造提升传统产业、布局建设未来产业。
402			二、辩证思维	辩证否定	2. 2024东城一模 第18题第（3）问（主观题）		【答案落点】  传统产业是未来产业发展的基础和起点，发展新质生产力应坚持辩证否定，既保留传统产业在制造体系、产业链配套和现实供给中的合理优势，又改造低端产能过剩、高端供给不足、创新能力薄弱等不适应新发展要求的方面；未来产业通过新技术、新场景渗透传统产业链上下游，在扬弃中推动传统优势产业升级。
403			二、辩证思维	辩证否定	2. 2024东城一模 第18题第（3）问（主观题）		【同题说明】  本题6分，开放等级赋分，须把“辩证否定（扬弃传统产业、既保留又改造）”与“超前思维（布局建设未来产业）”两个角度融入对“传统产业与未来产业关系”的整体论述；本条只训练其一，需两角度综合方达高档，单条不等于满分答案。
404	Heading3	3	二、辩证思维	辩证否定	3. 2026房山二模 第18题第（2）问（主观题）		3. 2026房山二模 第18题第（2）问（主观题）
405			二、辩证思维	辩证否定	3. 2026房山二模 第18题第（2）问（主观题）		【材料触发点】  OPC 遇上数字员工后形成未来创业模式：一人公司旧形态的运营方式被突破，数字员工带来的效率、协作和能力扩展被保留，同时法律风险又暴露出需要继续改造和规范的方面。
406			二、辩证思维	辩证否定	3. 2026房山二模 第18题第（2）问（主观题）		【设问】  （2）结合材料一和材料二，运用《逻辑与思维》辩证否定观知识，分析OPC的出现和发展。（5分）
407			二、辩证思维	辩证否定	3. 2026房山二模 第18题第（2）问（主观题）		【为什么能想到】  题目限定“辩证否定观”，先看材料里谁被否定、谁被保留。OPC 不是凭空出现，而是在一人公司基础上嵌入数字员工，说明它和旧形态有联系，是发展链条中的新环节；但它又改变了传统一人公司的运营方式和组织能力，形成“单人成军”的创业范式，说明它对旧形态有否定。材料还提示数字员工有强大功能，同时有法律风险，这正是扬弃：保留能提升效率和能力的因素，改造风险和不适应的因素，把旧要素放进新结构中。
408			二、辩证思维	辩证否定	3. 2026房山二模 第18题第（2）问（主观题）		【答案落点】  OPC 的出现体现辩证否定，是对传统一人公司这一旧矛盾统一体的否定，实现“单人成军”的全新创业范式，是联系的环节、发展的环节；OPC 的发展还要坚持扬弃，肯定和保留数字员工的强大功能，同时针对出现的法律风险进行改造，把这些风险纳入新模式的规范治理之中。
409	Heading3	3	二、辩证思维	辩证否定	4. 2025门头沟一模 第21题第（1）问（主观题）		4. 2025门头沟一模 第21题第（1）问（主观题）
410			二、辩证思维	辩证否定	4. 2025门头沟一模 第21题第（1）问（主观题）		【材料触发点】  门头沟结束千年采煤史、关停矿山，同时把革命老区、煤城工业积累、生态涵养功能和山地资源转化为“京西智谷”、生物医药、山地文旅等新发展条件。
411			二、辩证思维	辩证否定	4. 2025门头沟一模 第21题第（1）问（主观题）		【设问】  运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。
412			二、辩证思维	辩证否定	4. 2025门头沟一模 第21题第（1）问（主观题）		【为什么能想到】  本题的辩证否定入口在“旧基础怎样转化为新动能”。材料中的转型不是把旧煤城历史简单抹掉，也不是继续沿用煤炭路径，而是在否定单一资源依赖和粗放开发方式的同时，保留并转化工业基础、生态本底、山地资源和区位优势。看到“旧基础被扬弃为新动能”，就应落到辩证否定。
413			二、辩证思维	辩证否定	4. 2025门头沟一模 第21题第（1）问（主观题）		【答案落点】  门头沟转型坚持辩证否定观，既否定单一依赖煤炭、粗放开发和资源消耗型发展的旧路径，又保留并转化工业积累、生态本底、山地资源和区位优势等合理因素，把旧煤城的历史基础放进绿色转型和科技创新的新结构中，在扬弃中培育人工智能、生物医药、山地文旅等新动能。
414			二、辩证思维	辩证否定	4. 2025门头沟一模 第21题第（1）问（主观题）		【同题说明】  本题9分，分三组：辩证思维（辩证否定／整体性／动态性／分析综合，四选一）、科学思维（客观性／预见性，二选一）、创新思维（联想＋超前等，须选二合用）；各组择路径，本条只训练其一，单条不等于满分答案。
415	Heading3	3	二、辩证思维	辩证否定	5. 2026通州一模 第17题第（2）问（主观题）		5. 2026通州一模 第17题第（2）问（主观题）
416			二、辩证思维	辩证否定	5. 2026通州一模 第17题第（2）问（主观题）		【材料触发点】  人工智能一方面为生活消费和产业升级注入新动能，另一方面暴露出隐私保护、监管规则、就业结构等短板，说明其发展不是简单照旧推进，而是在克服问题中完善自身。
417			二、辩证思维	辩证否定	5. 2026通州一模 第17题第（2）问（主观题）		【设问】  （2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）
418			二、辩证思维	辩证否定	5. 2026通州一模 第17题第（2）问（主观题）		【为什么能想到】  辩证否定的重点是“扬弃”，不是简单说有好有坏。人工智能的消费便利、产业赋能和创新潜力应当保留和发展；数据质量、隐私保护、监管规则、就业结构冲击等问题则要通过技术优化、规则供给和治理能力提升来克服。材料要求的是在克服问题中推动 AI 更成熟，而不是照旧推进或全盘否定。
419			二、辩证思维	辩证否定	5. 2026通州一模 第17题第（2）问（主观题）		【答案落点】  看待人工智能应用与发展，要坚持辩证否定观，对 AI 的生活便利、产业升级和创新价值加以保留和发展，同时否定并克服隐私保护不足、规则滞后、就业冲击等不合理方面；通过技术优化、伦理规范和法律治理实现扬弃，使人工智能在规范中创新、在治理中更好发展。
420			二、辩证思维	辩证否定	5. 2026通州一模 第17题第（2）问（主观题）		【同题说明】  本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。
421	Heading3	3	二、辩证思维	辩证否定	补充：2024石景山一模 第19题第（3）问（辩证否定路径）		补充：2024石景山一模 第19题第（3）问（辩证否定路径）
422			二、辩证思维	辩证否定	补充：2024石景山一模 第19题第（3）问（辩证否定路径）		【材料触发点】  中国企业走出去后，既有自身技术、产品和管理优势，也面对投资国法律制度、技术标准、市场营销、人员管理和当地文化等不适应问题。
423			二、辩证思维	辩证否定	补充：2024石景山一模 第19题第（3）问（辩证否定路径）		【设问】  （3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任用一种辩证思维方法，针对上述问题提出合理建议。（4分）
424			二、辩证思维	辩证否定	补充：2024石景山一模 第19题第（3）问（辩证否定路径）		【为什么能想到】  辩证否定要求扬弃。企业不能全盘照搬国内经验，也不能否定自身优势，而要在保留自身优势的同时克服与当地制度、标准、市场和文化不适配之处，实现本土化改造。
425			二、辩证思维	辩证否定	补充：2024石景山一模 第19题第（3）问（辩证否定路径）		【答案落点】  企业应坚持辩证否定观，保留自身技术、产品和管理中的优势，克服不适应投资国法律制度、技术标准、市场营销和当地文化的做法；在适应当地条件中改造经营方式，实现继承优势与本土化创新的统一。
426			二、辩证思维	辩证否定	补充：2024石景山一模 第19题第（3）问（辩证否定路径）		【同题说明】  本题4分，开放“任用一种辩证思维方法”提建议；“分析与综合”与“辩证否定观”为同等可选路径，选一种充分展开即可，不必都答。
427	Heading2	2	二、辩证思维	认识发展历程			认识发展历程
428	Heading3	3	二、辩证思维	认识发展历程	1. 2024海淀二模 第17题第（2）问（主观题）		1. 2024海淀二模 第17题第（2）问（主观题）
429			二、辩证思维	认识发展历程	1. 2024海淀二模 第17题第（2）问（主观题）		【材料触发点】  时间利用调查先在调查了解阶段记录居民睡眠、工作、家务、交通、休闲等杂多活动和具体数据，再进入分析研究阶段，从这些材料中抽出时间结构、生活模式和社会治理意义，形成更完整的认识。
430			二、辩证思维	认识发展历程	1. 2024海淀二模 第17题第（2）问（主观题）		【设问】  （2）调查研究过程一般可分为准备阶段、调查了解阶段、分析研究阶段、总结阶段。从认识发展的历程角度，说明“调查了解阶段”与“分析研究阶段”的关联。（4分）
431			二、辩证思维	认识发展历程	1. 2024海淀二模 第17题第（2）问（主观题）		【为什么能想到】  两个阶段的“关联”不能只背三步名称。调查了解阶段的任务是采集居民活动信息和具体数据，得到的是丰富、杂多、直接的生活材料，触发感性具体。分析研究阶段的任务是对调查资料进行分析研究，把零散数据中的本质联系、生活模式和政策意义抽出来，触发思维抽象。分析不是终点，材料最后指向对居民时间利用情况和生活模式的更深认识，说明还应将抽象规定重新综合成对对象的整体把握，触发思维具体。三者顺序不能颠倒，答案顺着“感性具体、思维抽象、思维具体”的认识发展链推进。
432			二、辩证思维	认识发展历程	1. 2024海淀二模 第17题第（2）问（主观题）		【答案落点】  调查了解阶段通过记录居民睡眠、工作、家务、交通、休闲等具体活动和数据，形成对居民时间利用状况的感性具体认识；分析研究阶段可以先从杂多材料中抽取某一方面的规定，如时间结构、活动类型、群体差异等，形成思维抽象；再把这些片面规定综合起来，把握居民生活状况、社会变化和治理意义，形成更完整的思维具体认识。两个阶段相互依赖，调查了解为分析研究提供材料，分析研究又推动认识由表及里、由片面到整体。
433	Heading1	1	三、创新思维				三、创新思维
434	Heading2	2	三、创新思维	特点与三新			特点与三新
435	Heading3	3	三、创新思维	特点与三新	1. 2025昌平二模 第19题（主观题）		1. 2025昌平二模 第19题（主观题）
436			三、创新思维	特点与三新	1. 2025昌平二模 第19题（主观题）		【材料触发点】  《大梦·红楼》把传统经典改造成全场域行进式近景沉浸体验项目，观众从固定座位观看转为选择路径、跟随角色自由行走并近距离互动。
437			三、创新思维	特点与三新	1. 2025昌平二模 第19题（主观题）		【设问】  结合材料，分析沉浸式演艺是如何体现创新思维的。（8分）
438			三、创新思维	特点与三新	1. 2025昌平二模 第19题（主观题）		【为什么能想到】  关键是“三新”总特征，但不能只停在“三新”三个词。传统演艺通常是观众坐着看舞台，材料却让观众进入空间、跟随角色、自由选择路线，这说明观看经典的思路变了；三大沉浸展区、四条观众动线、二十个经典情节还原，说明表达经典的方法变了；最终形成全场域近景沉浸体验项目，说明经典作品获得了新的传播和消费形态。这题还要把总特征落到逆向思维、发散与聚合、迁移和想象等具体方法上，不能只喊“三新”。
439			三、创新思维	特点与三新	1. 2025昌平二模 第19题（主观题）		【答案落点】  沉浸式演艺体现创新思维的思路新、方法新和结果新：它根据新的消费需求，逆向改变传统观演模式，使观众由固定座位、被动观看转为自由行走、主动探索和近距离互动；又运用发散与聚合、迁移和想象等方法，从多角度开发《红楼梦》经典内容，设置多展区、多动线和多情节场景；最终为观众提供身临其境的体验，促进优秀传统文化传承发展和经济效益提升。
440			三、创新思维	特点与三新	1. 2025昌平二模 第19题（主观题）		【同题说明】  本题8分，采意赋分，答案融合逆向思维＋发散与聚合＋三新多层；本条只训练其一，须综合多层有机论述方得满分。
441	Heading3	3	三、创新思维	特点与三新	2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）		2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）
442			三、创新思维	特点与三新	2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）		【材料触发点】  该市不再只把冰雪看成季节性自然资源，而是把冰雪运动、音乐活动、街区空间、夜间消费和文化叙事组合起来，让原本偏冷的季节资源进入可消费、可体验、可传播的城市文旅场景，并把人文底蕴转化为融合街区和复合业态。
443			三、创新思维	特点与三新	2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）		【设问】  （2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）
444			三、创新思维	特点与三新	2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）		【为什么能想到】  这里的关键是“人文底蕴怎样变成经济优势”。材料把冰雪、音乐、文化叙事和街区消费放在一起，说明思路上不再把资源割裂使用，而是把它们看成可以相互激活的发展条件；方法上通过跨界联结、场景营造和业态融合，让资源进入消费空间；结果上形成文旅融合街区和新的经济增长点。这题只写“三新+简单分析”会偏薄，还要结合超前思维、联想思维、逆向思维、发散与聚合等具体方法，说明创新怎样发生。
445			三、创新思维	特点与三新	2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）		【答案落点】  该市体现创新思维的思路新、方法新、结果新：运用超前思维了解人文底蕴优势、预测消费趋势和旅游期待，推动城市发展理念转变；运用联想思维把冰雪资源与音乐、文化叙事等跨越联结，形成沉浸式体验；还可用逆向思维把“冷资源”转化为“热经济”，或用发散与聚合多角度挖掘文旅潜力并聚焦融合街区建设。这样才把人文底蕴转化为复合型文化空间、新业态和经济发展优势。
446			三、创新思维	特点与三新	2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）		【同题说明】  本题6分，细则认可超前／联想／逆向／三新／发散聚合五种创新思维方法，任选三种各2分；本条只训练其一，按细则任选三路径作答，单条不等于满分答案。
447	Heading3	3	三、创新思维	特点与三新	3. 2026门头沟一模 第18题第（2）问（主观题）		3. 2026门头沟一模 第18题第（2）问（主观题）
448			三、创新思维	特点与三新	3. 2026门头沟一模 第18题第（2）问（主观题）		【材料触发点】  首份协议不足后，法院没有停留在简单判决或一般调解，而是组织技术论证、引导多方协商，把封场治理、资金保障、工程实施、双验收和全程监督合成闭环方案。
449			三、创新思维	特点与三新	3. 2026门头沟一模 第18题第（2）问（主观题）		【设问】  （2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）
450			三、创新思维	特点与三新	3. 2026门头沟一模 第18题第（2）问（主观题）		【为什么能想到】  这则材料还呈现出创新思维，但不能只写“有新办法”。创新点在纠纷解决方法：从“一判了之”转向技术论证、协商共治和闭环履行，把司法裁判、专业技术、资金保障、工程实施和监督验收建立成新的解决链条。这里一方面是思路、方法、结果发生变化，另一方面也有发散与聚合：先把技术、资金、工程、验收、监督等治理可能打开，再聚合成闭环履行方案。
451			三、创新思维	特点与三新	3. 2026门头沟一模 第18题第（2）问（主观题）		【答案落点】  法院运用创新思维，突破单纯裁判、一次性判决的纠纷处理思路，转向生态修复、公共安全和产业转型协同推进，体现思路新；通过发散与聚合相结合，组织技术论证、引导多方协商，把封场治理、资金保障、工程实施、双验收、全程监督等环节聚合成闭环方案，体现方法新；最终提升纠纷解决实效，推动生态环境修复，实现司法保护效果最大化，体现结果新。
452			三、创新思维	特点与三新	3. 2026门头沟一模 第18题第（2）问（主观题）		【同题说明】  本题7分（“科学思维”为宽口径），细则两大要点：辩证思维（含整体性，约3分）＋创新思维（含三新，约2—3分）＋条理1分；须两维度合答，本条只训练其一，单条不等于满分答案。
453	Heading3	3	三、创新思维	特点与三新	4. 2026延庆一模 第18题第（2）问（主观题）		4. 2026延庆一模 第18题第（2）问（主观题）
454			三、创新思维	特点与三新	4. 2026延庆一模 第18题第（2）问（主观题）		【材料触发点】  虚拟数字人直播既是新营销形式，又暴露仿冒欺诈、主体责任和内容合规风险；材料要求在支持发展的同时合理监管、推动技术升级并完善规则。
455			三、创新思维	特点与三新	4. 2026延庆一模 第18题第（2）问（主观题）		【设问】  （2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）
456			三、创新思维	特点与三新	4. 2026延庆一模 第18题第（2）问（主观题）		【为什么能想到】  虚拟数字人直播的“三新”要从材料里抽出来：思路新，是把直播主体从真人主播扩展到数字人，形成新型营销场景；方法新，是用技术升级、主体责任明确和法律监管配套来解决仿冒欺诈、内容合规等风险；结果新，是让电商直播在规范中形成更可持续的新业态。
457			三、创新思维	特点与三新	4. 2026延庆一模 第18题第（2）问（主观题）		"【答案落点】  虚拟数字人直播应体现创新思维的思路新、方法新和结果新：思路新在于承认数字人直播等新型营销场景，并从""要不要发展""转向""怎样规范发展""；方法新在于鼓励创新、推动技术不断升级，同时完善相应法律法规，采取适度监管措施；结果新在于促进电商行业健康可持续发展，使新业态在规范中释放活力。"
458			三、创新思维	特点与三新	4. 2026延庆一模 第18题第（2）问（主观题）		【同题说明】  本题7分，四选三结构：矛盾分析法／适度原则／三新（辩证否定可替三新）各2分，任答三角度得6分＋条理1分；本条只训练其一，须三角度合答方得满分。
459	Heading3	3	三、创新思维	特点与三新	5. 2026石景山一模 第17题第（2）问（主观题）		5. 2026石景山一模 第17题第（2）问（主观题）
460			三、创新思维	特点与三新	5. 2026石景山一模 第17题第（2）问（主观题）		【材料触发点】  中医药文化传承不再停留在传统典籍、诊疗展示或馆内陈列，而是进入健康中国建设、数字体验、康养服务、社区课程和国际传播等新场景；传统文化由“被保存”转向“可体验、可服务、可传播”。
461			三、创新思维	特点与三新	5. 2026石景山一模 第17题第（2）问（主观题）		【设问】  （2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）
462			三、创新思维	特点与三新	5. 2026石景山一模 第17题第（2）问（主观题）		【为什么能想到】  本题要把三种创新方法同材料一一对应：联想思维对应“传统诊疗方法+现代智能传感/数字体验”的跨界结合；发散思维对应从文化传播、课程教育、康养服务、文创产品、国际传播等多方向提出建议；超前思维对应面向健康中国和老龄化需求，提前布局中医药康养与国际传播。
463			三、创新思维	特点与三新	5. 2026石景山一模 第17题第（2）问（主观题）		【答案落点】  传承中医药文化可以体现创新思维的思路新、方法新和结果新：用联想思维把传统诊疗、药膳养生、文化符号同智能技术、数字体验相结合；用发散思维从课程、社区服务、文创产品、康养产业、国际传播等方向打开路径；用超前思维面向健康中国建设和未来健康服务需求提前布局。作答时选两条建议，并把每条建议扣回材料中的具体场景。
464			三、创新思维	特点与三新	5. 2026石景山一模 第17题第（2）问（主观题）		【同题说明】  本题6分，提两条建议（每条3分），细则开放联想／发散／聚合／超前等创新思维方法、“其他角度亦可酌情给分”；每条建议任选一种方法，本条仅示范，须两条各选角度写满方得满分。
465	Heading3	3	三、创新思维	特点与三新	6. 2026丰台二模 第21题（主观题）		6. 2026丰台二模 第21题（主观题）
466			三、创新思维	特点与三新	6. 2026丰台二模 第21题（主观题）		【材料触发点】  公园原本主要承担休闲游憩功能，材料却把生态资源转化为教育教学内容，开发“3+X”课程体系，并联动学校、公园、文旅、科协和街道打造乐学生态圈。
467			三、创新思维	特点与三新	6. 2026丰台二模 第21题（主观题）		【答题提醒】  “3+X”不是固定高考术语，可理解为3个基础模块加若干特色课程方向；作答时抓“多方向打开课程可能—多主体聚合成乐学生态圈”，不必背数字。
468			三、创新思维	特点与三新	6. 2026丰台二模 第21题（主观题）		【设问】  结合材料，运用创新思维，分析该区是如何让公园成为乐学之地的。（6分）
469			三、创新思维	特点与三新	6. 2026丰台二模 第21题（主观题）		【为什么能想到】  “三新”的入口在公园功能被重新理解，但这题不能只停在“三新”。思路新在于把公园看成育人空间而不只是休闲空间；联想思维体现在把生态资源迁移到教育教学中；发散与聚合体现在依托“3+X”课程体系开发各具特色的校本课程，又集中学校、公园、文旅、科协、街道等资源形成乐学生态圈。这样才对应材料中的“公园变立体课堂”和多方协同。
470			三、创新思维	特点与三新	6. 2026丰台二模 第21题（主观题）		【答案落点】  该区立足实践，运用创新思维推动教育、生态和治理融合发展；运用联想思维，将公园生态资源迁移到教育教学中，拓展全域育人空间；运用发散思维与聚合思维，依托“3+X”课程体系开发各具特色的校本课程，又集中各类资源和多方力量，让学生享受高品质乐学课程，推动公园从休闲场所变为立体课堂。
471			三、创新思维	特点与三新	6. 2026丰台二模 第21题（主观题）		【同题说明】  本题6分，创新思维主观题，作答提示涵盖联想／发散／聚合／三新多层；本条只训练其一，须多角度合答方达高档。
472	Heading3	3	三、创新思维	特点与三新	7. 2026西城二模 第18题第（4）问（主观题）		7. 2026西城二模 第18题第（4）问（主观题）
473			三、创新思维	特点与三新	7. 2026西城二模 第18题第（4）问（主观题）		【材料触发点】  人机协同新常态要求人一方面利用 AI 工具拓展信息处理、问题解决和创新表达能力，另一方面在面对幻觉、偏见、错误和价值立场时保持价值判断、本质辨析和责任选择的主导作用。
474			三、创新思维	特点与三新	7. 2026西城二模 第18题第（4）问（主观题）		【设问】  （4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）
